market_name,price,meta_sportsbooks_id,main,link,sgp,grade,players,updated,meta_id,meta_sport,meta_league,meta_teams_away_id,meta_teams_away_name,meta_teams_away_abbreviation,meta_teams_home_id,meta_teams_home_name,meta_teams_home_abbreviation,meta_start,meta_live,meta_sportsbooks_name,sportsbook,bet
1st 5 Innings Run Line: American League All-Stars -1,177,pinnacle,False,,,,[],2024-07-15T00:47:55,mlb:national_league_all-stars:american_league_all-stars:2024-07-16,Baseball,MLB,,,,,,,2024-07-17T00:00:00,False,Pinnacle,pinnacle,1st_5_innings_run_line:american_league_all-stars_-1:mlb:national_league_all-stars:american_league_all-stars:2024-07-16
1st 5 Innings Run Line: American League All-Stars -1.5,220,fanduel_ontario,False,https://canada.sportsbook.fanduel.com/en/sports/event/1780524.3,,,[],2024-07-15T00:47:54,mlb:national_league_all-stars:american_league_all-stars:2024-07-16,Baseball,MLB,,,,,,,2024-07-17T00:00:00,False,FanDuel (Ontario),fanduel_ontario,1st_5_innings_run_line:american_league_all-stars_-1.5:mlb:national_league_all-stars:american_league_all-stars:2024-07-16
1st 5 Innings Run Line: American League All-Stars -2.5,390,fanduel_ontario,False,https://canada.sportsbook.fanduel.com/en/sports/event/1780524.3,,,[],2024-07-15T00:47:54,mlb:national_league_all-stars:american_league_all-stars:2024-07-16,Baseball,MLB,,,,,,,2024-07-17T00:00:00,False,FanDuel (Ontario),fanduel_ontario,1st_5_innings_run_line:american_league_all-stars_-2.5:mlb:national_league_all-stars:american_league_all-stars:2024-07-16
1st 5 Innings Run Line: American League All-Stars -3.5,640,fanduel_ontario,False,https://canada.sportsbook.fanduel.com/en/sports/event/1780524.3,,,[],2024-07-15T00:47:54,mlb:national_league_all-stars:american_league_all-stars:2024-07-16,Baseball,MLB,,,,,,,2024-07-17T00:00:00,False,FanDuel (Ontario),fanduel_ontario,1st_5_innings_run_line:american_league_all-stars_-3.5:mlb:national_league_all-stars:american_league_all-stars:2024-07-16
1st 5 Innings Run Line: National League All-Stars +0.5,-143,ps3838,True,,,,[],2024-07-15T00:47:55,mlb:national_league_all-stars:american_league_all-stars:2024-07-16,Baseball,MLB,,,,,,,2024-07-17T00:00:00,False,PS3838,ps3838,1st_5_innings_run_line:national_league_all-stars_+0.5:mlb:national_league_all-stars:american_league_all-stars:2024-07-16
1st 5 Innings Run Line: National League All-Stars +0.5,-143,pinnacle,True,,,,[],2024-07-15T00:47:55,mlb:national_league_all-stars:american_league_all-stars:2024-07-16,Baseball,MLB,,,,,,,2024-07-17T00:00:00,False,Pinnacle,pinnacle,1st_5_innings_run_line:national_league_all-stars_+0.5:mlb:national_league_all-stars:american_league_all-stars:2024-07-16
1st 5 Innings Run Line: National League All-Stars +1,-214,ps3838,False,,,,[],2024-07-15T00:47:55,mlb:national_league_all-stars:american_league_all-stars:2024-07-16,Baseball,MLB,,,,,,,2024-07-17T00:00:00,False,PS3838,ps3838,1st_5_innings_run_line:national_league_all-stars_+1:mlb:national_league_all-stars:american_league_all-stars:2024-07-16
1st 5 Innings Run Line: National League All-Stars +1,-214,pinnacle,False,,,,[],2024-07-15T00:47:55,mlb:national_league_all-stars:american_league_all-stars:2024-07-16,Baseball,MLB,,,,,,,2024-07-17T00:00:00,False,Pinnacle,pinnacle,1st_5_innings_run_line:national_league_all-stars_+1:mlb:national_league_all-stars:american_league_all-stars:2024-07-16
1st 5 Innings Run Line: National League All-Stars +1.5,-310,fanduel_ontario,False,https://canada.sportsbook.fanduel.com/en/sports/event/1780524.3,,,[],2024-07-15T00:47:54,mlb:national_league_all-stars:american_league_all-stars:2024-07-16,Baseball,MLB,,,,,,,2024-07-17T00:00:00,False,FanDuel (Ontario),fanduel_ontario,1st_5_innings_run_line:national_league_all-stars_+1.5:mlb:national_league_all-stars:american_league_all-stars:2024-07-16
1st 5 Innings Run Line: National League All-Stars +2.5,-650,fanduel_ontario,False,https://canada.sportsbook.fanduel.com/en/sports/event/1780524.3,,,[],2024-07-15T00:47:54,mlb:national_league_all-stars:american_league_all-stars:2024-07-16,Baseball,MLB,,,,,,,2024-07-17T00:00:00,False,FanDuel (Ontario),fanduel_ontario,1st_5_innings_run_line:national_league_all-stars_+2.5:mlb:national_league_all-stars:american_league_all-stars:2024-07-16
1st 5 Innings Run Line: National League All-Stars +3.5,-1450,fanduel_ontario,False,https://canada.sportsbook.fanduel.com/en/sports/event/1780524.3,,,[],2024-07-15T00:47:54,mlb:national_league_all-stars:american_league_all-stars:2024-07-16,Baseball,MLB,,,,,,,2024-07-17T00:00:00,False,FanDuel (Ontario),fanduel_ontario,1st_5_innings_run_line:national_league_all-stars_+3.5:mlb:national_league_all-stars:american_league_all-stars:2024-07-16
1st 5 Innings Run Line: National League All-Stars -0.5,136,ps3838,False,,,,[],2024-07-15T00:47:55,mlb:national_league_all-stars:american_league_all-stars:2024-07-16,Baseball,MLB,,,,,,,2024-07-17T00:00:00,False,PS3838,ps3838,1st_5_innings_run_line:national_league_all-stars_-0.5:mlb:national_league_all-stars:american_league_all-stars:2024-07-16
1st 5 Innings Run Line: National League All-Stars -0.5,136,pinnacle,False,,,,[],2024-07-15T00:47:55,mlb:national_league_all-stars:american_league_all-stars:2024-07-16,Baseball,MLB,,,,,,,2024-07-17T00:00:00,False,Pinnacle,pinnacle,1st_5_innings_run_line:national_league_all-stars_-0.5:mlb:national_league_all-stars:american_league_all-stars:2024-07-16
1st 5 Innings Run Line: National League All-Stars -1,199,pinnacle,False,,,,[],2024-07-15T00:47:55,mlb:national_league_all-stars:american_league_all-stars:2024-07-16,Baseball,MLB,,,,,,,2024-07-17T00:00:00,False,Pinnacle,pinnacle,1st_5_innings_run_line:national_league_all-stars_-1:mlb:national_league_all-stars:american_league_all-stars:2024-07-16
1st 5 Innings Run Line: National League All-Stars -1,199,ps3838,False,,,,[],2024-07-15T00:47:55,mlb:national_league_all-stars:american_league_all-stars:2024-07-16,Baseball,MLB,,,,,,,2024-07-17T00:00:00,False,PS3838,ps3838,1st_5_innings_run_line:national_league_all-stars_-1:mlb:national_league_all-stars:american_league_all-stars:2024-07-16
1st 5 Innings Run Line: National League All-Stars -1.5,235,fanduel_ontario,False,https://canada.sportsbook.fanduel.com/en/sports/event/1780524.3,,,[],2024-07-15T00:47:54,mlb:national_league_all-stars:american_league_all-stars:2024-07-16,Baseball,MLB,,,,,,,2024-07-17T00:00:00,False,FanDuel (Ontario),fanduel_ontario,1st_5_innings_run_line:national_league_all-stars_-1.5:mlb:national_league_all-stars:american_league_all-stars:2024-07-16
1st 5 Innings Run Line: National League All-Stars -2.5,400,fanduel_ontario,False,https://canada.sportsbook.fanduel.com/en/sports/event/1780524.3,,,[],2024-07-15T00:47:54,mlb:national_league_all-stars:american_league_all-stars:2024-07-16,Baseball,MLB,,,,,,,2024-07-17T00:00:00,False,FanDuel (Ontario),fanduel_ontario,1st_5_innings_run_line:national_league_all-stars_-2.5:mlb:national_league_all-stars:american_league_all-stars:2024-07-16
1st 5 Innings Run Line: National League All-Stars -3.5,680,fanduel_ontario,False,https://canada.sportsbook.fanduel.com/en/sports/event/1780524.3,,,[],2024-07-15T00:47:54,mlb:national_league_all-stars:american_league_all-stars:2024-07-16,Baseball,MLB,,,,,,,2024-07-17T00:00:00,False,FanDuel (Ontario),fanduel_ontario,1st_5_innings_run_line:national_league_all-stars_-3.5:mlb:national_league_all-stars:american_league_all-stars:2024-07-16
1st 5 Innings Team Total Away Team: Over 1.5,-128,ps3838,True,,,,[],2024-07-15T00:47:55,mlb:national_league_all-stars:american_league_all-stars:2024-07-16,Baseball,MLB,,,,,,,2024-07-17T00:00:00,False,PS3838,ps3838,1st_5_innings_team_total_away_team:over_1.5:mlb:national_league_all-stars:american_league_all-stars:2024-07-16
1st 5 Innings Team Total Away Team: Over 1.5,-128,pinnacle,True,,,,[],2024-07-15T00:47:55,mlb:national_league_all-stars:american_league_all-stars:2024-07-16,Baseball,MLB,,,,,,,2024-07-17T00:00:00,False,Pinnacle,pinnacle,1st_5_innings_team_total_away_team:over_1.5:mlb:national_league_all-stars:american_league_all-stars:2024-07-16
1st 5 Innings Team Total Away Team: Under 1.5,105,ps3838,True,,,,[],2024-07-15T00:47:55,mlb:national_league_all-stars:american_league_all-stars:2024-07-16,Baseball,MLB,,,,,,,2024-07-17T00:00:00,False,PS3838,ps3838,1st_5_innings_team_total_away_team:under_1.5:mlb:national_league_all-stars:american_league_all-stars:2024-07-16
1st 5 Innings Team Total Away Team: Under 1.5,105,pinnacle,True,,,,[],2024-07-15T00:47:55,mlb:national_league_all-stars:american_league_all-stars:2024-07-16,Baseball,MLB,,,,,,,2024-07-17T00:00:00,False,Pinnacle,pinnacle,1st_5_innings_team_total_away_team:under_1.5:mlb:national_league_all-stars:american_league_all-stars:2024-07-16
1st 5 Innings Team Total Home Team: Over 1.5,-139,pinnacle,True,,,,[],2024-07-15T00:47:55,mlb:national_league_all-stars:american_league_all-stars:2024-07-16,Baseball,MLB,,,,,,,2024-07-17T00:00:00,False,Pinnacle,pinnacle,1st_5_innings_team_total_home_team:over_1.5:mlb:national_league_all-stars:american_league_all-stars:2024-07-16
1st 5 Innings Team Total Home Team: Over 1.5,-139,ps3838,True,,,,[],2024-07-15T00:47:55,mlb:national_league_all-stars:american_league_all-stars:2024-07-16,Baseball,MLB,,,,,,,2024-07-17T00:00:00,False,PS3838,ps3838,1st_5_innings_team_total_home_team:over_1.5:mlb:national_league_all-stars:american_league_all-stars:2024-07-16
1st 5 Innings Team Total Home Team: Under 1.5,115,pinnacle,True,,,,[],2024-07-15T00:47:55,mlb:national_league_all-stars:american_league_all-stars:2024-07-16,Baseball,MLB,,,,,,,2024-07-17T00:00:00,False,Pinnacle,pinnacle,1st_5_innings_team_total_home_team:under_1.5:mlb:national_league_all-stars:american_league_all-stars:2024-07-16
1st 5 Innings Team Total Home Team: Under 1.5,115,ps3838,True,,,,[],2024-07-15T00:47:55,mlb:national_league_all-stars:american_league_all-stars:2024-07-16,Baseball,MLB,,,,,,,2024-07-17T00:00:00,False,PS3838,ps3838,1st_5_innings_team_total_home_team:under_1.5:mlb:national_league_all-stars:american_league_all-stars:2024-07-16
1st 5 Innings Total Runs: Over 2.5,-330,fanduel_ontario,False,https://canada.sportsbook.fanduel.com/en/sports/event/1780524.3,,,[],2024-07-15T00:47:54,mlb:national_league_all-stars:american_league_all-stars:2024-07-16,Baseball,MLB,,,,,,,2024-07-17T00:00:00,False,FanDuel (Ontario),fanduel_ontario,1st_5_innings_total_runs:over_2.5:mlb:national_league_all-stars:american_league_all-stars:2024-07-16
