type,id,attributes.adjusted_odds,attributes.board_time,attributes.custom_image,attributes.description,attributes.discount_percentage,attributes.end_time,attributes.flash_sale_line_score,attributes.game_id,attributes.is_promo,attributes.line_score,attributes.odds_type,attributes.projection_type,attributes.rank,attributes.refundable,attributes.start_time,attributes.stat_type,attributes.status,attributes.tv_channel,attributes.updated_at,relationships.duration.data,relationships.league.data.type,relationships.league.data.id,relationships.new_player.data.type,relationships.new_player.data.id,relationships.projection_type.data.type,relationships.projection_type.data.id,relationships.stat_type.data.type,relationships.stat_type.data.id,attributes.hr_20,attributes.today,relationships.duration.data.type,relationships.duration.data.id
projection,2748385,,2024-07-01T18:00:00-04:00,,ATL,,,,83850bee-ba6a-445e-9465-9e22214db61e,False,14.5,standard,Single Stat,408,True,2024-07-14T18:00:00-04:00,Pts+Rebs+Asts,pre_game,,2024-07-14T09:28:50-04:00,,league,3,new_player,142493,projection_type,2,stat_type,106,True,True,,
projection,2748383,,2024-07-01T18:00:00-04:00,,ATL,,,,83850bee-ba6a-445e-9465-9e22214db61e,False,19.5,standard,Fantasy Score,408,True,2024-07-14T18:00:00-04:00,Fantasy Score,pre_game,,2024-07-14T09:23:30-04:00,,league,3,new_player,142493,projection_type,1,stat_type,14,True,True,,
projection,2748384,,2024-07-01T18:00:00-04:00,,ATL,,,,83850bee-ba6a-445e-9465-9e22214db61e,False,7.5,standard,Single Stat,408,True,2024-07-14T18:00:00-04:00,Points,pre_game,,2024-07-14T09:23:30-04:00,,league,3,new_player,142493,projection_type,2,stat_type,19,True,True,,
projection,2748387,,2024-07-01T18:00:00-04:00,,ATL 1st Half,,,,83850bee-ba6a-445e-9465-9e22214db61e,False,3.5,standard,Single Stat,408,True,2024-07-14T18:00:00-04:00,Points,pre_game,,2024-07-14T09:23:31-04:00,,league,193,new_player,142501,projection_type,2,stat_type,19,True,True,duration,12
projection,2748388,,2024-07-01T18:00:00-04:00,,ATL 1st Half,,,,83850bee-ba6a-445e-9465-9e22214db61e,False,7.5,standard,Single Stat,408,True,2024-07-14T18:00:00-04:00,Pts+Rebs+Asts,pre_game,,2024-07-14T09:23:30-04:00,,league,193,new_player,142501,projection_type,2,stat_type,106,True,True,duration,12
projection,2746685,True,2024-07-14T09:00:00-04:00,,SD,,,,fbca5ca6-5ff9-4c98-b4ba-dad0648b085c,False,1.5,demon,Single Stat,408,True,2024-07-14T16:10:00-04:00,Hits,pre_game,,2024-07-14T10:27:03-04:00,,league,2,new_player,68719,projection_type,2,stat_type,101,True,True,,
projection,2748386,,2024-07-01T18:00:00-04:00,,ATL 1st Half,,,,83850bee-ba6a-445e-9465-9e22214db61e,False,10.0,standard,Fantasy Score,408,True,2024-07-14T18:00:00-04:00,Fantasy Score,pre_game,,2024-07-14T15:39:15-04:00,,league,193,new_player,142501,projection_type,1,stat_type,14,True,True,duration,12
projection,2746686,True,2024-07-14T09:00:00-04:00,,ATL,,,,fbca5ca6-5ff9-4c98-b4ba-dad0648b085c,False,0.5,goblin,Single Stat,409,True,2024-07-14T16:10:00-04:00,Hits,pre_game,,2024-07-14T09:04:06-04:00,,league,2,new_player,127204,projection_type,2,stat_type,101,True,True,,
projection,2745803,True,2024-07-01T18:00:00-04:00,,ATL,,,,83850bee-ba6a-445e-9465-9e22214db61e,False,24.5,demon,Single Stat,425,True,2024-07-14T18:00:00-04:00,Points,pre_game,,2024-07-14T00:49:34-04:00,,league,3,new_player,64387,projection_type,2,stat_type,19,True,True,,
projection,2745804,True,2024-07-01T18:00:00-04:00,,ATL,,,,83850bee-ba6a-445e-9465-9e22214db61e,False,3.5,standard,Single Stat,425,True,2024-07-14T18:00:00-04:00,Assists,pre_game,,2024-07-14T08:09:54-04:00,,league,3,new_player,64387,projection_type,2,stat_type,20,True,True,,
projection,2745807,True,2024-07-01T18:00:00-04:00,,ATL,,,,83850bee-ba6a-445e-9465-9e22214db61e,False,4.5,demon,Single Stat,425,True,2024-07-14T18:00:00-04:00,Rebounds,pre_game,,2024-07-14T00:44:56-04:00,,league,3,new_player,64387,projection_type,2,stat_type,22,True,True,,
projection,2745802,True,2024-07-01T18:00:00-04:00,,ATL,,,,83850bee-ba6a-445e-9465-9e22214db61e,False,2.5,demon,Single Stat,425,True,2024-07-14T18:00:00-04:00,3-PT Made,pre_game,,2024-07-14T00:49:22-04:00,,league,3,new_player,64387,projection_type,2,stat_type,31,True,True,,
projection,2745801,True,2024-07-01T18:00:00-04:00,,ATL,,,,83850bee-ba6a-445e-9465-9e22214db61e,False,5.5,demon,Single Stat,425,True,2024-07-14T18:00:00-04:00,Assists,pre_game,,2024-07-14T08:09:55-04:00,,league,3,new_player,64387,projection_type,2,stat_type,20,True,True,,
projection,2745806,True,2024-07-01T18:00:00-04:00,,ATL,,,,83850bee-ba6a-445e-9465-9e22214db61e,False,2.5,goblin,Single Stat,425,True,2024-07-14T18:00:00-04:00,Rebounds,pre_game,,2024-07-14T09:52:13-04:00,,league,3,new_player,64387,projection_type,2,stat_type,22,True,True,,
projection,2745812,True,2024-07-01T18:00:00-04:00,,SEA,,,,83850bee-ba6a-445e-9465-9e22214db61e,False,3.5,goblin,Single Stat,426,True,2024-07-14T18:00:00-04:00,Rebounds,pre_game,,2024-07-14T08:09:54-04:00,,league,3,new_player,141602,projection_type,2,stat_type,22,True,True,,
projection,2745811,True,2024-07-01T18:00:00-04:00,,SEA,,,,83850bee-ba6a-445e-9465-9e22214db61e,False,19.5,demon,Single Stat,426,True,2024-07-14T18:00:00-04:00,Points,pre_game,,2024-07-14T00:44:02-04:00,,league,3,new_player,141602,projection_type,2,stat_type,19,True,True,,
projection,2745813,True,2024-07-01T18:00:00-04:00,,SEA,,,,83850bee-ba6a-445e-9465-9e22214db61e,False,5.5,demon,Single Stat,426,True,2024-07-14T18:00:00-04:00,Rebounds,pre_game,,2024-07-14T08:09:54-04:00,,league,3,new_player,141602,projection_type,2,stat_type,22,True,True,,
projection,2745814,True,2024-07-01T18:00:00-04:00,,SEA,,,,83850bee-ba6a-445e-9465-9e22214db61e,False,2.5,demon,Single Stat,426,True,2024-07-14T18:00:00-04:00,3-PT Made,pre_game,,2024-07-14T00:44:56-04:00,,league,3,new_player,141602,projection_type,2,stat_type,31,True,True,,
projection,2745815,True,2024-07-01T18:00:00-04:00,,SEA,,,,83850bee-ba6a-445e-9465-9e22214db61e,False,14.5,goblin,Single Stat,426,True,2024-07-14T18:00:00-04:00,Points,pre_game,,2024-07-14T00:42:36-04:00,,league,3,new_player,141602,projection_type,2,stat_type,19,True,True,,
