,type,id,attributes.adjusted_odds,attributes.board_time,attributes.custom_image,attributes.description,attributes.end_time,attributes.flash_sale_line_score,attributes.game_id,attributes.is_promo,attributes.line_score,attributes.odds_type,attributes.projection_type,attributes.rank,attributes.refundable,attributes.start_time,attributes.stat_type,attributes.status,attributes.tv_channel,attributes.updated_at,relationships.duration.data,relationships.league.data.type,relationships.league.data.id,relationships.new_player.data.type,relationships.new_player.data.id,relationships.projection_type.data.type,relationships.projection_type.data.id,relationships.stat_type.data.type,relationships.stat_type.data.id,attributes.discount_percentage,attributes.hr_20,attributes.today,relationships.duration.data.type,relationships.duration.data.id
797,projection,2740294,,2024-07-12T17:18:00-04:00,,Regional Finals (NA),,,Regional Finals (NA)45487.75,False,4.0,standard,Single Stat,79,True,2024-07-14T18:00:00-04:00,MAPS 1-3 Kills,pre_game,https://www.twitch.tv/playapex,2024-07-12T21:47:23-04:00,,league,268,new_player,184970,projection_type,2,stat_type,331,,True,True,,
798,projection,2740356,,2024-07-12T17:18:00-04:00,,Regional Finals (NA),,,Regional Finals (NA)45487.8194444444,False,4.0,standard,Single Stat,79,True,2024-07-14T19:40:00-04:00,MAPS 4-6 Kills,pre_game,https://www.twitch.tv/playapex,2024-07-12T23:40:01-04:00,,league,268,new_player,184970,projection_type,2,stat_type,597,,True,True,,
799,projection,2740295,,2024-07-12T17:18:00-04:00,,Regional Finals (NA),,,Regional Finals (NA)45487.75,False,4.5,standard,Single Stat,80,True,2024-07-14T18:00:00-04:00,MAPS 1-3 Kills,pre_game,https://www.twitch.tv/playapex,2024-07-12T21:47:27-04:00,,league,268,new_player,186502,projection_type,2,stat_type,331,,True,True,,
800,projection,2353308,,2024-03-12T12:40:00-04:00,,IND,,,sdafaewgv,False,649.5,standard,Single Stat,80,True,2024-09-05T20:30:00-04:00,Receiving Yards,pre_game,,2024-06-17T13:33:53-04:00,,league,163,new_player,195518,projection_type,2,stat_type,17,,,,,
801,projection,2748924,,2024-07-08T19:16:00-04:00,,Julia Riera,,,TNS_game_0j9OjvsmV9svqJKl8dYKmP8v,False,1.5,standard,Single Stat,80,True,2024-07-15T04:00:00-04:00,Aces,pre_game,,2024-07-14T13:44:01-04:00,,league,5,new_player,201864,projection_type,2,stat_type,61,,True,True,,
802,projection,2536722,,2024-03-12T12:40:00-04:00,,NO,,,dgffdsh,False,3.5,standard,Single Stat,80,True,2024-09-05T20:00:00-04:00,Rec TDs,pre_game,,2024-06-26T13:40:48-04:00,,league,163,new_player,198273,projection_type,2,stat_type,47,,,,,
803,projection,2740357,,2024-07-12T17:18:00-04:00,,Regional Finals (NA),,,Regional Finals (NA)45487.8194444444,False,3.0,standard,Single Stat,80,True,2024-07-14T19:40:00-04:00,MAPS 4-6 Kills,pre_game,https://www.twitch.tv/playapex,2024-07-12T21:47:25-04:00,,league,268,new_player,186502,projection_type,2,stat_type,597,,True,True,,
804,projection,2748936,,2024-07-08T19:16:00-04:00,,Julia Riera,,,TNS_game_0j9OjvsmV9svqJKl8dYKmP8v,False,21.5,standard,Single Stat,80,True,2024-07-15T04:00:00-04:00,Total Games,pre_game,,2024-07-14T13:44:01-04:00,,league,5,new_player,201864,projection_type,2,stat_type,62,,True,True,,
805,projection,2748913,,2024-07-08T19:16:00-04:00,,Julia Riera,,,TNS_game_0j9OjvsmV9svqJKl8dYKmP8v,False,14.5,standard,Fantasy Score,80,True,2024-07-15T04:00:00-04:00,Fantasy Score,pre_game,,2024-07-14T13:44:01-04:00,,league,5,new_player,201864,projection_type,1,stat_type,14,,True,True,,
806,projection,2746259,True,2024-07-14T09:00:00-04:00,,LAA,,,bd8c20fd-5b96-4b5a-b70e-c073ad239190,False,0.5,demon,Single Stat,80,True,2024-07-14T16:07:00-04:00,Doubles,pre_game,,2024-07-14T11:43:41-04:00,,league,2,new_player,67814,projection_type,2,stat_type,639,,True,True,,
